FIRSTJ152110.4+113307, ARG0002xrh
FIRSTJ154833.0+232143, ARG000257v
FIRSTJ154833.1+112842, ARG0002xzr
FIRSTJ154833.4+112824, ARG0002y0q
FIRSTJ154843.7+231924, ARG00025b8
FIRSTJ154852.0+114136, ARG0002xb0
FIRSTJ154853.4+114927, ARG0002wvo
FIRSTJ154855.4+111939, ARG0002yi8
FIRSTJ154855.5+113830, ARG0002xh7
FIRSTJ154902.2+112657, ARG0002y3p
FIRSTJ154924.4+225612, ARG00026ak
FIRSTJ154944.1+112148, ARG0002ye5
FIRSTJ155004.7+224613, ARG00026qb
FIRSTJ155008.7+112033, ARG0002ygp
FIRSTJ155034.0+120041, ARG0002wa5
FIRSTJ155034.4+120040, ARG0002wa6
FIRSTJ155034.8+120041, ARG0002wa4
FIRSTJ155035.7+120034, ARG0002wad
FIRSTJ155041.6+112025, ARG0002ygu
FIRSTJ155043.2+112110, ARG0002yfg
FIRSTJ155044.5+112039, ARG0002ygk
FIRSTJ155054.2+115729, ARG0002wgi
FIRSTJ155054.6+115725, ARG0002wgm
FIRSTJ155103.0+231910, ARG00025bn
FIRSTJ155108.6+114941, ARG0002wv8
FIRSTJ155142.0+113935, ARG0002xfb
FIRSTJ155142.0+113949, ARG0002xes
FIRSTJ155142.1+113836, ARG0002xgy
FIRSTJ155142.6+231344, ARG00025jf
FIRSTJ155144.0+231421, ARG00025i9
FIRSTJ155211.3+231223, ARG00025lo
FIRSTJ155211.9+231229, ARG00025lc
FIRSTJ155230.2+112626, ARG0002y4l
FIRSTJ155231.0+112625, ARG0002y4n
FIRSTJ155301.4+215015, ARG00028x5
FIRSTJ155327.7+112502, ARG0002y7o
FIRSTJ155331.6+112953, ARG0002xxl
FIRSTJ155331.9+112944, ARG0002xxw
FIRSTJ155332.5+112937, ARG0002xy4
FIRSTJ155523.6+231526, ARG00025gt
FIRSTJ155527.1+231139, ARG00025ml
FIRSTJ155533.2+120021, ARG0002waq
FIRSTJ155541.6+231002, ARG00025p4
FIRSTJ155601.2+112052, ARG0002yg8
FIRSTJ155605.9+231838, ARG00025ce
FIRSTJ155624.0+231025, ARG00025ol
FIRSTJ155638.2+115435, ARG0002wm3
FIRSTJ155647.8+232108, ARG000258n
FIRSTJ155649.6+231222, ARG00025lr
FIRSTJ155701.4+115859, ARG0002wde
FIRSTJ155713.6+231410, ARG00025im
FIRSTJ155736.1+231257, ARG00025ki
FIRSTJ155737.2+115234, ARG0002wq1
FIRSTJ155741.8+112941, ARG0002xy0
FIRSTJ155833.1+113843, ARG0002xgs
FIRSTJ155833.8+113845, ARG0002xgr
FIRSTJ155843.4+231846, ARG00025c9
FIRSTJ155843.8+231836, ARG00025ci
FIRSTJ155847.1+114916, ARG0002wvy
FIRSTJ155903.8+112703, ARG0002y3g
FIRSTJ155905.6+115146, ARG0002wrh
FIRSTJ155937.6+112243, ARG0002ycd
FIRSTJ155938.3+112244, ARG0002ycb
FIRSTJ155949.3+113933, ARG0002xfd
FIRSTJ160020.8+112528, ARG0002y6o
FIRSTJ160112.9+113021, ARG0002xwl
FIRSTJ160153.8+224407, ARG00026u1
FIRSTJ160204.7+114630, ARG0002x0r
FIRSTJ160205.2+114628, ARG0002x0w
FIRSTJ160229.8+120207, ARG0002w72
FIRSTJ160232.6+231121, ARG00025n3
FIRSTJ160233.5+231101, ARG00025ni
FIRSTJ160239.5+115122, ARG0002wse
FIRSTJ160239.7+115110, ARG0002wss
FIRSTJ160248.9+115845, ARG0002wdu
FIRSTJ160342.1+120234, ARG0002w6b
FIRSTJ160405.1+112801, ARG0002y1g
FIRSTJ160405.9+112800, ARG0002y1l
FIRSTJ160411.9+112045, ARG0002ygd
FIRSTJ160417.6+114215, ARG0002x9j
FIRSTJ160435.8+232055, ARG0002593
FIRSTJ160436.3+232036, ARG000259h
FIRSTJ160438.3+115925, ARG0002wcp
FIRSTJ160449.3+224346, ARG00026ub
FIRSTJ160514.3+115156, ARG0002wr8
FIRSTJ160518.5+231110, ARG00025nd
FIRSTJ160519.0+231121, ARG00025n4
FIRSTJ160538.6+113648, ARG0002xkn
FIRSTJ160539.7+113645, ARG0002xku
FIRSTJ160544.0+225147, ARG00026ho
FIRSTJ160553.0+114517, ARG0002x3l
FIRSTJ160553.7+114532, ARG0002x34
FIRSTJ160611.3+224957, ARG00026ki
FIRSTJ160614.0+115308, ARG0002wow
FIRSTJ160705.6+231136, ARG00025mo
FIRSTJ160720.5+232056, ARG0002592
FIRSTJ160731.3+231318, ARG00025k0
FIRSTJ160736.0+114034, ARG0002xd3
FIRSTJ160736.4+114045, ARG0002xcl
FIRSTJ160741.1+112807, ARG0002y19
FIRSTJ160751.5+112757, ARG0002y1r
FIRSTJ160751.7+231118, ARG00025n5
FIRSTJ160754.7+231116, ARG00025n8
FIRSTJ160831.6+114704, ARG0002wzq
FIRSTJ160841.9+115834, ARG0002weg
FIRSTJ160910.8+231239, ARG00025l3
FIRSTJ160911.0+231228, ARG00025lg
FIRSTJ161007.0+232011, ARG00025a7
FIRSTJ161010.3+232024, ARG000259t
FIRSTJ161013.0+113027, ARG0002xwa
FIRSTJ161013.0+113027, ARG0002xwa
FIRSTJ161013.5+113030, ARG0002xw6
FIRSTJ161025.6+113441, ARG0002xom
FIRSTJ161052.2+115915, ARG0002wd0
FIRSTJ161052.8+115931, ARG0002wcg
FIRSTJ161103.5+113932, ARG0002xff
FIRSTJ161138.8+113757, ARG0002xid
FIRSTJ161146.8+120145, ARG0002w7s
FIRSTJ161151.1+113337, ARG0002xqj
FIRSTJ161204.8+115830, ARG0002weo
FIRSTJ161205.1+115818, ARG0002wf3
FIRSTJ161215.1+115011, ARG0002wud
FIRSTJ161223.3+113531, ARG0002xn8
FIRSTJ161238.5+231526, ARG00025gu
FIRSTJ161250.2+120206, ARG0002w75
FIRSTJ161250.3+112619, ARG0002y4x
FIRSTJ161251.8+231318, ARG00025jz
FIRSTJ161253.8+114124, ARG0002xbh
FIRSTJ161305.3+231159, ARG00025m4
FIRSTJ161318.6+231558, ARG00025g3
FIRSTJ161348.8+114217, ARG0002x9e
FIRSTJ161403.1+113010, ARG0002xwx
FIRSTJ161414.6+120008, ARG0002wb3
FIRSTJ161415.6+120038, ARG0002waa
FIRSTJ161424.3+220015, ARG00028j8
FIRSTJ161426.3+112726, ARG0002y2s
FIRSTJ161435.6+113800, ARG0002xi6
FIRSTJ161444.1+232058, ARG0002590
FIRSTJ161529.8+115508, ARG0002wl3
FIRSTJ161534.7+113047, ARG0002xvj
FIRSTJ161540.0+120037, ARG0002wab
FIRSTJ161544.9+231616, ARG00025fq
FIRSTJ161545.2+115453, ARG0002wlp
FIRSTJ161545.4+231617, ARG00025fp
FIRSTJ161548.2+112310, ARG0002ybk
FIRSTJ161603.2+224533, ARG00026rk
FIRSTJ161647.5+232034, ARG000259m
FIRSTJ161656.9+112230, ARG0002yd5
FIRSTJ161730.2+114830, ARG0002wx7
FIRSTJ161753.1+231503, ARG00025hg
FIRSTJ161804.4+112244, ARG0002ycc
FIRSTJ161830.5+115332, ARG0002wnw
FIRSTJ161832.0+225331, ARG00026ep
FIRSTJ161836.3+112018, ARG0002yh7
FIRSTJ161852.5+114030, ARG0002xda
FIRSTJ161911.4+112158, ARG0002ydw
FIRSTJ161913.1+112200, ARG0002ydt
FIRSTJ161914.7+112208, ARG0002ydp
FIRSTJ161919.4+215533, ARG00028pw
FIRSTJ161919.8+114533, ARG0002x31
FIRSTJ161919.9+231148, ARG00025mf
FIRSTJ161921.2+114531, ARG0002x36
FIRSTJ161940.0+113629, ARG0002xlh
FIRSTJ161941.5+113622, ARG0002xlr
FIRSTJ161944.8+112649, ARG0002y40
FIRSTJ161949.3+112819, ARG0002y10
FIRSTJ161949.4+115116, ARG0002wsm
FIRSTJ161950.6+115125, ARG0002wsa
FIRSTJ161951.5+115134, ARG0002wrt
FIRSTJ162013.0+112803, ARG0002y1e
FIRSTJ162053.5+115554, ARG0002wjg
FIRSTJ162110.6+215739, ARG00028n1
FIRSTJ162121.2+232243, ARG0002569
FIRSTJ162121.2+232243, ARG0002569
FIRSTJ162123.4+114008, ARG0002xe2
FIRSTJ162123.4+114018, ARG0002xdl
FIRSTJ162131.1+114711, ARG0002wzg
FIRSTJ162131.7+114708, ARG0002wzj
FIRSTJ162132.4+114851, ARG0002wwt
FIRSTJ162158.9+232040, ARG000259f
FIRSTJ162159.3+232042, ARG000259e
FIRSTJ162326.0+220044, ARG00028ib
FIRSTJ162334.7+232052, ARG0002597
FIRSTJ162334.9+232103, ARG000258x
FIRSTJ162338.4+120103, ARG0002w9f
FIRSTJ162338.8+120110, ARG0002w99
FIRSTJ162358.7+222336, ARG00027n1
FIRSTJ162415.5+120112, ARG0002w96
FIRSTJ162439.0+232113, ARG000258j
FIRSTJ162439.0+232113, ARG000258j
FIRSTJ162439.2+112743, ARG0002y29
FIRSTJ162439.4+112751, ARG0002y1y
FIRSTJ162506.0+115618, ARG0002wiv
FIRSTJ162532.6+113525, ARG0002xnd
FIRSTJ162617.2+231722, ARG00025e3
FIRSTJ162617.8+231744, ARG00025dl
FIRSTJ162629.5+231414, ARG00025ig
FIRSTJ162630.3+231405, ARG00025iu
FIRSTJ162640.1+221711, ARG00027xi
FIRSTJ162646.5+113449, ARG0002xoc
FIRSTJ162657.6+115717, ARG0002wgy
FIRSTJ162722.6+112802, ARG0002y1f
FIRSTJ162731.7+231320, ARG00025ju
FIRSTJ162731.8+230251, ARG00025zq
FIRSTJ162732.3+231316, ARG00025k4
FIRSTJ162734.8+113741, ARG0002xix
FIRSTJ162736.0+113737, ARG0002xj3
FIRSTJ162746.6+113355, ARG0002xq1
FIRSTJ162746.9+231039, ARG00025o1
FIRSTJ162752.9+232053, ARG0002596
FIRSTJ162753.0+232106, ARG000258s
FIRSTJ162755.0+113742, ARG0002xiu
FIRSTJ162804.3+115355, ARG0002wn6
FIRSTJ162816.7+231050, ARG00025np
FIRSTJ162817.9+231921, ARG00025ba
FIRSTJ162818.2+231919, ARG00025be
FIRSTJ162820.3+231913, ARG00025bi
FIRSTJ162823.1+231948, ARG00025as
FIRSTJ162845.4+113041, ARG0002xvs
FIRSTJ162907.1+120114, ARG0002w92
FIRSTJ162908.9+222559, ARG00027jq
FIRSTJ162935.0+232011, ARG00025a4
FIRSTJ162935.6+232012, ARG00025a3
FIRSTJ162937.8+232014, ARG00025a0
FIRSTJ163017.6+115916, ARG0002wcz
FIRSTJ163017.9+115913, ARG0002wd3
FIRSTJ163042.0+222248, ARG00027o4
FIRSTJ163109.0+231053, ARG00025no
FIRSTJ163109.5+231105, ARG00025nf
FIRSTJ163145.2+115603, ARG0002wja
FIRSTJ163210.6+112354, ARG0002ya2
FIRSTJ163235.3+230955, ARG00025pd
FIRSTJ163256.2+231404, ARG00025iv
FIRSTJ163350.6+231026, ARG00025oj
FIRSTJ163501.8+112848, ARG0002xzg
FIRSTJ163536.6+115412, ARG0002wmr
FIRSTJ163639.1+113217, ARG0002xt1
FIRSTJ163659.1+231151, ARG00025ma
FIRSTJ163715.3+113313, ARG0002xra
FIRSTJ163715.3+113428, ARG0002xp7
FIRSTJ163728.6+113402, ARG0002xpv
FIRSTJ163755.6+114954, ARG0002wus
FIRSTJ163757.0+114944, ARG0002wv6
FIRSTJ163800.7+114741, ARG0002wyo
FIRSTJ163802.5+120057, ARG0002w9q
FIRSTJ163832.0+223828, ARG0002727
FIRSTJ163834.4+114736, ARG0002wys
FIRSTJ163848.5+115303, ARG0002woy
FIRSTJ163848.9+115223, ARG0002wqi
FIRSTJ163852.8+112326, ARG0002yaw
FIRSTJ163853.2+112337, ARG0002yal
FIRSTJ163913.9+112634, ARG0002y4f
FIRSTJ163916.0+112753, ARG0002y1w
FIRSTJ163917.7+112846, ARG0002xzj
FIRSTJ163918.8+113047, ARG0002xvi
FIRSTJ163925.4+115130, ARG0002ws0
FIRSTJ164012.7+231550, ARG00025ga
FIRSTJ164043.8+230606, ARG00025ue
FIRSTJ164058.4+114406, ARG0002x5q
FIRSTJ164058.8+114404, ARG0002x5s
FIRSTJ164106.4+113312, ARG0002xrd
FIRSTJ164107.0+113258, ARG0002xrq
FIRSTJ164131.7+114235, ARG0002x8u
FIRSTJ164200.2+115751, ARG0002wfs
FIRSTJ164221.9+115825, ARG0002wex
FIRSTJ164227.5+114907, ARG0002ww9
FIRSTJ164239.5+232217, ARG0002578
FIRSTJ164239.5+232217, ARG0002578
FIRSTJ164248.6+232019, ARG000259v
FIRSTJ164313.9+115536, ARG0002wk8
FIRSTJ164314.5+115519, ARG0002wko
FIRSTJ164408.2+114633, ARG0002x0l
FIRSTJ164411.6+115442, ARG0002wlu
FIRSTJ164420.9+113431, ARG0002xp1
FIRSTJ164421.6+113421, ARG0002xpc
FIRSTJ164422.4+113413, ARG0002xpj
FIRSTJ164439.2+220214, ARG00028gl
FIRSTJ164443.2+113716, ARG0002xjp
FIRSTJ164449.9+232101, ARG000258y
FIRSTJ164506.0+112506, ARG0002y7j
FIRSTJ164533.9+113543, ARG0002xmw
FIRSTJ164551.9+115919, ARG0002wcw
FIRSTJ164552.3+115913, ARG0002wd2
FIRSTJ164641.3+112547, ARG0002y5u
FIRSTJ164641.7+112541, ARG0002y61
FIRSTJ164643.0+232255, ARG000255v
FIRSTJ164643.0+232255, ARG000255v
FIRSTJ164701.6+112545, ARG0002y5v
FIRSTJ164708.4+112651, ARG0002y3x
FIRSTJ164833.1+224259, ARG00026ve
FIRSTJ164837.9+221557, ARG00027zg
FIRSTJ164844.3+232037, ARG000259g
FIRSTJ164923.8+115424, ARG0002wmj
FIRSTJ165203.8+230940, ARG00025pr
FIRSTJ165226.2+231957, ARG00025am
FIRSTJ165240.8+231847, ARG00025c5
FIRSTJ165424.6+231818, ARG00025cr
FIRSTJ165456.3+223839, ARG000271k
FIRSTJ165609.0+220432, ARG00028eo
FIRSTJ165628.5+231139, ARG00025mk
FIRSTJ165634.0+220501, ARG00028e6
FIRSTJ165738.2+232230, ARG000256s
FIRSTJ165738.2+232230, ARG000256s
FIRSTJ165754.1+232207, ARG000257d
FIRSTJ165754.1+232207, ARG000257d
FIRSTJ165754.9+232217, ARG0002577
FIRSTJ165754.9+232217, ARG0002577
FIRSTJ165755.4+232223, ARG0002571
FIRSTJ165755.4+232223, ARG0002571
FIRSTJ170000.1+231324, ARG00025jr
FIRSTJ170001.3+231331, ARG00025jn
FIRSTJ170057.3+225639, ARG000269x
FIRSTJ170128.2+232036, ARG000259i
FIRSTJ170252.0+230444, ARG00025wp
FIRSTJ170314.2+221725, ARG00027x4
FIRSTJ170329.2+223808, ARG000272y
FIRSTJ170512.3+224515, ARG00026s8
FIRSTJ170525.8+231015, ARG00025ov
FIRSTJ170526.5+221627, ARG00027yf
FIRSTJ170530.5+221627, ARG00027yg
FIRSTJ170636.6+232016, ARG000259z
FIRSTJ170653.8+230903, ARG00025qa
FIRSTJ170718.4+232003, ARG00025ae
FIRSTJ170725.4+231221, ARG00025ls
FIRSTJ170949.6+231522, ARG00025gx
FIRSTJ170950.2+231519, ARG00025gz
FIRSTJ170952.0+231532, ARG00025go
FIRSTJ170952.8+231538, ARG00025gl
FIRSTJ170953.4+231545, ARG00025ge
FIRSTJ171046.9+231606, ARG00025fu
FIRSTJ171133.0+215557, ARG00028p9
FIRSTJ171226.8+232140, ARG000257z
FIRSTJ171226.8+232140, ARG000257z
FIRSTJ171254.9+231318, ARG00025jx
FIRSTJ171304.0+231020, ARG00025oq
FIRSTJ171328.5+230925, ARG00025pz
FIRSTJ171420.9+230417, ARG00025x8
FIRSTJ171515.3+232244, ARG0002568
FIRSTJ171515.3+232244, ARG0002568
FIRSTJ171920.7+231134, ARG00025mq
FIRSTJ171924.0+231131, ARG00025mv
FIRSTJ171925.5+231131, ARG00025mu
FIRSTJ171929.5+232149, ARG000257q
FIRSTJ171929.5+232149, ARG000257q
FIRSTJ171930.3+232205, ARG000257g
FIRSTJ171930.3+232205, ARG000257g
FIRSTJ172002.3+231249, ARG00025kp
FIRSTJ172002.3+231331, ARG00025jo
FIRSTJ172029.6+225502, ARG00026co
FIRSTJ211255.5+112801, ARG0002y1h
FIRSTJ211255.7+112756, ARG0002y1u
FIRSTJ211257.1+112805, ARG0002y1c
FIRSTJ211257.6+112759, ARG0002y1m
FIRSTJ211400.7+113135, ARG0002xu6
FIRSTJ211402.7+113203, ARG0002xth
FIRSTJ211522.2+113754, ARG0002xif
FIRSTJ211522.6+113746, ARG0002xip
FIRSTJ211535.6+114617, ARG0002x1c
FIRSTJ211547.3+113418, ARG0002xpf
FIRSTJ211548.9+113438, ARG0002xoq
FIRSTJ211559.2+114028, ARG0002xdb
FIRSTJ211608.5+113154, ARG0002xto
FIRSTJ211612.5+113012, ARG0002xwr
FIRSTJ211613.0+113026, ARG0002xwb
FIRSTJ211741.1+112638, ARG0002y4b
FIRSTJ211742.3+115002, ARG0002wui
FIRSTJ211808.7+114253, ARG0002x8a
FIRSTJ211917.2+113913, ARG0002xg0
FIRSTJ211918.3+113917, ARG0002xfx
FIRSTJ211919.1+113046, ARG0002xvn
FIRSTJ211919.9+113050, ARG0002xvh
FIRSTJ212103.8+112322, ARG0002yb3
FIRSTJ212122.8+114925, ARG0002wvq
FIRSTJ212403.6+114452, ARG0002x49
FIRSTJ212404.0+114500, ARG0002x3x
FIRSTJ212405.5+114532, ARG0002x33
FIRSTJ212442.2+114008, ARG0002xe3
FIRSTJ212442.4+111909, ARG0002yjl
FIRSTJ212442.5+113914, ARG0002xfy
FIRSTJ212605.5+113324, ARG0002xqx
FIRSTJ212620.3+115419, ARG0002wmm
FIRSTJ212634.6+112609, ARG0002y53
FIRSTJ212636.0+112623, ARG0002y4p
FIRSTJ212656.9+113644, ARG0002xkw
FIRSTJ212748.5+114121, ARG0002xbk
FIRSTJ212853.3+113937, ARG0002xf5
FIRSTJ212854.3+113936, ARG0002xfa
FIRSTJ212855.6+113024, ARG0002xwe
FIRSTJ212909.3+113328, ARG0002xqr
FIRSTJ212913.0+115151, ARG0002wrc
FIRSTJ212928.7+113325, ARG0002xqv
FIRSTJ213003.7+114311, ARG0002x7j
FIRSTJ213049.6+114053, ARG0002xc7
FIRSTJ213105.5+113059, ARG0002xv8
FIRSTJ213106.6+113109, ARG0002xux
FIRSTJ213237.9+114803, ARG0002wy2
FIRSTJ213334.5+112602, ARG0002y5d
FIRSTJ213408.7+115955, ARG0002wbk
FIRSTJ213501.9+113820, ARG0002xhh
FIRSTJ213516.0+112759, ARG0002y1o
FIRSTJ213517.2+112800, ARG0002y1k
FIRSTJ213558.1+113103, ARG0002xv6
FIRSTJ213616.1+112910, ARG0002xyt
FIRSTJ213708.8+113714, ARG0002xjs
FIRSTJ213711.8+113238, ARG0002xsc
FIRSTJ213802.5+114436, ARG0002x4o
FIRSTJ213807.8+113951, ARG0002xeq
FIRSTJ213824.9+115828, ARG0002wes
FIRSTJ213826.8+115752, ARG0002wfr
FIRSTJ213827.4+115742, ARG0002wg5
FIRSTJ213840.2+113338, ARG0002xqi
FIRSTJ213909.0+113958, ARG0002xeg
FIRSTJ213951.9+120214, ARG0002w6v
FIRSTJ214006.6+115125, ARG0002ws8
FIRSTJ214023.9+120245, ARG0002w61
FIRSTJ214030.9+113445, ARG0002xoh
FIRSTJ214033.7+112523, ARG0002y6z
FIRSTJ214034.2+112247, ARG0002yc7
FIRSTJ214146.4+120104, ARG0002w9e
FIRSTJ214217.2+113630, ARG0002xld
FIRSTJ214224.0+112136, ARG0002yek
FIRSTJ214358.6+115009, ARG0002wue
FIRSTJ214404.7+114634, ARG0002x0j
FIRSTJ214405.2+114622, ARG0002x14
FIRSTJ214405.4+114612, ARG0002x1m
FIRSTJ214459.3+111908, ARG0002yjo
FIRSTJ214613.8+113601, ARG0002xmc
FIRSTJ214635.4+115550, ARG0002wjo
FIRSTJ214748.3+115724, ARG0002wgo
FIRSTJ214753.4+115759, ARG0002wfl
FIRSTJ214755.3+113530, ARG0002xna
FIRSTJ214755.6+113502, ARG0002xnw
FIRSTJ214807.8+114752, ARG0002wy9
FIRSTJ214812.2+114807, ARG0002wxu
FIRSTJ214813.6+113313, ARG0002xrb
FIRSTJ214814.3+113307, ARG0002xrj
FIRSTJ214829.6+115844, ARG0002wdw
FIRSTJ214842.4+115008, ARG0002wuf
FIRSTJ214849.3+120241, ARG0002w65
FIRSTJ214849.6+120231, ARG0002w6f
FIRSTJ214854.0+111916, ARG0002yjh
FIRSTJ214854.6+114955, ARG0002wuq
FIRSTJ214907.5+115552, ARG0002wji
FIRSTJ214911.0+114854, ARG0002wwm
FIRSTJ214911.7+114853, ARG0002wwq
FIRSTJ215005.7+115301, ARG0002wp2
FIRSTJ215006.2+115253, ARG0002wpe
FIRSTJ215008.2+111952, ARG0002yhs
FIRSTJ215009.2+111936, ARG0002yie
FIRSTJ215131.2+112848, ARG0002xzh
FIRSTJ215131.7+112834, ARG0002y04
FIRSTJ215131.9+112824, ARG0002y0u
FIRSTJ215231.3+115202, ARG0002wr4
FIRSTJ215243.0+112647, ARG0002y43
